ablation_id,knob_value,variant,cfs,diagnostic,diagnostic_name,monotonicity,specificity,sufficiency,offmanifold_residual
A1,topk,onmanifold_steer,0.6447,0.0541,recon_mse,1.0,0.7878,0.4194,0.0
A1,topk,naive_steer,0.6614,0.0541,recon_mse,1.0,0.8411,0.4261,0.3279
A1,l1,onmanifold_steer,0.543,0.0233,recon_mse,1.0,0.8431,0.2995,0.0
A1,l1,naive_steer,0.4637,0.0233,recon_mse,1.0,0.6129,0.2605,0.693
A2,1,onmanifold_steer,0.6874,0.1584,recon_mse,1.0,0.814,0.4682,0.0
A2,1,naive_steer,0.6789,0.1584,recon_mse,1.0,0.8204,0.4545,0.2007
A2,2,onmanifold_steer,0.6314,0.1184,recon_mse,1.0,0.6909,0.4341,0.0
A2,2,naive_steer,0.6493,0.1184,recon_mse,1.0,0.7299,0.4444,0.2289
A2,4,onmanifold_steer,0.7061,0.082,recon_mse,1.0,0.9129,0.4644,0.0
A2,4,naive_steer,0.7148,0.082,recon_mse,1.0,0.9225,0.4733,0.3137
A2,8,onmanifold_steer,0.6447,0.0541,recon_mse,1.0,0.7878,0.4194,0.0
A2,8,naive_steer,0.6614,0.0541,recon_mse,1.0,0.8411,0.4261,0.3279
A2,16,onmanifold_steer,0.5816,0.0377,recon_mse,1.0,0.8431,0.3365,0.0
A2,16,naive_steer,0.5947,0.0377,recon_mse,1.0,0.8002,0.3578,0.5068
A2,32,onmanifold_steer,0.542,0.0287,recon_mse,1.0,0.6871,0.3247,0.0
A2,32,naive_steer,0.4835,0.0287,recon_mse,1.0,0.6588,0.2712,0.5596
A3,1,onmanifold_steer,0.0,0.0,offmanifold_residual,1.0,0.0,0.1141,0.0
A3,1,naive_steer,0.5016,0.3899,offmanifold_residual,1.0,0.3938,0.4096,0.3899
A3,2,onmanifold_steer,0.2168,0.0,offmanifold_residual,1.0,0.1079,0.2801,0.0
A3,2,naive_steer,0.5016,0.3899,offmanifold_residual,1.0,0.3938,0.4096,0.3899
A3,4,onmanifold_steer,0.6119,0.0,offmanifold_residual,1.0,0.6312,0.4314,0.0
A3,4,naive_steer,0.5016,0.3899,offmanifold_residual,1.0,0.3938,0.4096,0.3899
A3,8,onmanifold_steer,0.6127,0.0,offmanifold_residual,1.0,0.6319,0.4322,0.0
A3,8,naive_steer,0.5016,0.3899,offmanifold_residual,1.0,0.3938,0.4096,0.3899
A3,16,onmanifold_steer,0.4999,0.3899,offmanifold_residual,1.0,0.3912,0.409,0.3899
A3,16,naive_steer,0.5016,0.3899,offmanifold_residual,1.0,0.3938,0.4096,0.3899
A3,32,onmanifold_steer,0.4996,0.3899,offmanifold_residual,1.0,0.3907,0.4089,0.3899
A3,32,naive_steer,0.5016,0.3899,offmanifold_residual,1.0,0.3938,0.4096,0.3899
A3,64,onmanifold_steer,0.5016,0.3899,offmanifold_residual,1.0,0.3938,0.4096,0.3899
A3,64,naive_steer,0.5016,0.3899,offmanifold_residual,1.0,0.3938,0.4096,0.3899
A4,0.0,onmanifold_steer,0.5615,1.0,reliable_concept_fraction,,,,
A4,0.0,naive_steer,0.5785,1.0,reliable_concept_fraction,,,,
A4,0.2,onmanifold_steer,0.5615,1.0,reliable_concept_fraction,,,,
A4,0.2,naive_steer,0.5785,1.0,reliable_concept_fraction,,,,
A4,0.4,onmanifold_steer,0.6334,0.5,reliable_concept_fraction,,,,
A4,0.4,naive_steer,0.63,0.5,reliable_concept_fraction,,,,
A4,0.6,onmanifold_steer,0.6334,0.5,reliable_concept_fraction,,,,
A4,0.6,naive_steer,0.63,0.5,reliable_concept_fraction,,,,
A4,0.8,onmanifold_steer,0.6447,0.25,reliable_concept_fraction,,,,
A4,0.8,naive_steer,0.6614,0.25,reliable_concept_fraction,,,,
A5,early|patch,onmanifold_steer,0.6693,0.1154,recon_mse,1.0,0.8736,0.4277,0.0
A5,early|patch,naive_steer,0.637,0.1154,recon_mse,1.0,0.8192,0.4018,0.4943
A5,early|cls,onmanifold_steer,0.6004,0.3861,recon_mse,1.0,0.7808,0.3682,0.0
A5,early|cls,naive_steer,0.5661,0.3861,recon_mse,1.0,0.6767,0.3544,0.5095
A5,late|patch,onmanifold_steer,0.6447,0.0541,recon_mse,1.0,0.7878,0.4194,0.0
A5,late|patch,naive_steer,0.6614,0.0541,recon_mse,1.0,0.8411,0.4261,0.3279
A5,late|cls,onmanifold_steer,0.5514,0.3361,recon_mse,1.0,0.7698,0.3183,0.0
A5,late|cls,naive_steer,0.527,0.3361,recon_mse,1.0,0.7551,0.2969,0.6427
