variant,shift,mean_cfs,ci_low,ci_high,n_concepts
supervised_steer,clean,0.6868,0.6754,0.6992,24
supervised_steer,ImgNet-R,0.6981,0.6863,0.71,24
supervised_steer,Sketch,0.6969,0.6851,0.709,24
supervised_steer,C-3,0.6836,0.6724,0.6941,24
supervised_steer,C-5,0.6492,0.6393,0.6583,24
supervised_steer,ObjectNet,0.6017,0.5937,0.6094,24
onmanifold_steer,clean,0.3159,0.2217,0.4008,24
onmanifold_steer,ImgNet-R,0.3227,0.228,0.4134,24
onmanifold_steer,Sketch,0.3224,0.2268,0.4141,24
onmanifold_steer,C-3,0.315,0.2259,0.4051,24
onmanifold_steer,C-5,0.2959,0.2112,0.3799,24
onmanifold_steer,ObjectNet,0.2699,0.1961,0.3429,24
clamp_steer,clean,0.2506,0.1782,0.3203,24
clamp_steer,ImgNet-R,0.2567,0.1805,0.3276,24
clamp_steer,Sketch,0.2556,0.1809,0.3272,24
clamp_steer,C-3,0.248,0.1708,0.3152,24
clamp_steer,C-5,0.2296,0.1641,0.2946,24
clamp_steer,ObjectNet,0.2062,0.142,0.2616,24
naive_steer,clean,0.3083,0.2193,0.3924,24
naive_steer,ImgNet-R,0.3148,0.217,0.4095,24
naive_steer,Sketch,0.3144,0.2219,0.4028,24
naive_steer,C-3,0.3073,0.2192,0.3984,24
naive_steer,C-5,0.2889,0.1997,0.3692,24
naive_steer,ObjectNet,0.2639,0.1874,0.3412,24
random_steer,clean,0.0,0.0,0.0,24
random_steer,ImgNet-R,0.0,0.0,0.0,24
random_steer,Sketch,0.0,0.0,0.0,24
random_steer,C-3,0.0,0.0,0.0,24
random_steer,C-5,0.0,0.0,0.0,24
random_steer,ObjectNet,0.0,0.0,0.0,24
